What is your sex?,What is your year?,What is your course?,What was your GWA in the previous semester at PLM?,What was your Senior High School strand?,What was your first choice upon applying to PLM?2,What was your second choice upon applying to PLM?3,What was your third choice upon applying to PLM?2,I do important decisions on my own,I considered the background of the school in choosing a particular course,I consider the  number of potential job opportunities as an important factor       ,I consider the level of salary offered by potential job opportunities as an important factor,Who decided for you to choose your course?, I find my skills aligned with my current course, I find my  interests aligned with my current course       ,I find my hobbies aligned with my current course,Who inspire or motivated in your choice of course?,I am having the best college experience       ,I find the class size affecting my interest in the course,I find the   class size stimulating in my learning experience,I am in a  group of friends in my current course who shares the same interests with me       2,I can easily get affected/influenced by my friends’ decision       3,How many are you in your section/block?, I find my expectations match with my current course’s curriculum content       , I like my current course       ,                  I can easily learn lessons from the   subjects that I am taking right now              , I feel like the subjects offered in my current course is lacking       ,I had trouble  choosing my course upon applying in PLM       ,I find my  entire educational experience at this course excellent       ,I am satisfied with the set of instructors in my current course       ,I consider my college offering an effective academic advising       , I worry that I am not good/performing   enough for my subjects       ,I experienced  an effective course advising in high school,"If you could start over again, would you choose the same course you are attending now?","If you will be given a chance to shift to a different course, would you grab the opportunity?"
Male,Second Year,BSIT,2.01-2.50,TVL,BSIT,BSCE,BSCS,Disagree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BSECE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Strongly Agree,10-30,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,No
Female,First Year,BSIT,N/A,TVL,BSIT,BSCS,BSBA_MM,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Disagree,Agree,Strongly Agree,10-30,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Yes,No
Female,Third Year,BSIT,1.51-2.00,BAM,BSA,BSBA_FM,BSIT,Strongly Agree,Disagree,Disagree,Disagree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Disagree,10-30,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,Third Year,BSIT,2.51-3.00,STEM,BSME,BSEE,BSIT,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,10-30,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Third Year,BSBA_HRM,1.51-2.00,BAM,BSA,BSCS,BSPsy,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,10-30,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,No,No
Female,Second Year,BSREM,1.00-1.50,STEM,BSCE,BSN,BSTM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,10-30,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCpE,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Disagree,Agree,10-30,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSBA_HRM,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Agree,Agree,10-30,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,No
Male,First Year,BSCpE,N/A,STEM,BSN,BSPT,BSCE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Agree,Family,Agree,Strongly Disagree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,No
Male,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Agree,Agree,10-30,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,No
Female,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,First Year,BSMfgE,N/A,STEM,BSIT,BSN,BSPT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Strongly Disagree,Agree,10-30,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSBA_MM,BSPsy,Agree,Disagree,Agree,Agree,Family,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BS_Arch,BSPsy,Strongly Agree,Agree,Agree,N/A,Myself,Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Agree,Agree,10-30,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Yes,No
Male,Third Year,BSBA_HRM,1.51-2.00,STEM,BSPsy,BSN,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Disagree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,10-30,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,No,No
Female,Second Year,BSIT,1.00-1.50,HESS,BSPsy,BSIT,BSChem,Strongly Agree,Strongly Agree,Agree,Agree,Myself,Agree,Strongly Agree,Disagree,Teachers,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,10-30,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Yes,No
Female,Third Year,BSECE,1.00-1.50,STEM,BSECE,BSCE,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,10-30,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Yes,No
Male,Second Year,BSIT,1.51-2.00,HESS,BSIT,BSCS,BSCpE,Strongly Agree,Disagree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,N/A,Agree,Yes,No
Male,Third Year,BSIT,2.51-3.00,STEM,BSME,BSEE,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,10-30,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSIT,2.51-3.00,STEM,BSEE,BSIT,BSME,Agree,Agree,Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Strongly Agree,10-30,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSCpE,BSCS,BSIT,Disagree,Disagree,Agree,Agree,Family,Disagree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Yes,No
Female,Third Year,BSBA_OM,1.51-2.00,BAM,BSA,BSME,BSEd_Math,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,10-30,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes
Female,Third Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BECEd,Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,10-30,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSIT,2.01-2.50,TVL,BSIT,BSPsy,BSHM,Agree,Agree,Strongly Agree,Agree,Family,Agree,Agree,Agree,Family,N/A,Agree,Agree,Agree,Disagree,10-30,Agree,Agree,Agree,Disagree,N/A,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,Yes
Female,Third Year,BSCHE,1.51-2.00,STEM,BSCHE,BSME,BSBio,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Family,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,10-30,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BS_Arch,BSCE,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Disagree,Agree,10-30,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCS,1.51-2.00,TVL,BSCS,BSIT,BSCpE,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Disagree,10-30,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSCpE,BPA,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Teachers,Agree,Agree,Agree,Agree,Strongly Disagree,10-30,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Yes,No
Female,Third Year,BSBA_HRM,1.00-1.50,BAM,BSBA_HRM,BSBA_MM,BSBA_FM,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Myself,Strongly Agree,Strongly Agree,Agree,Teachers,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,10-30,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Yes,No
Female,Third Year,BS_ENTRE,1.51-2.00,BAM,BSHM,BSBA_HRM,BS_ENTRE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Agree,Strongly Disagree,Professionals,Agree,Strongly Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSCHE,1.51-2.00,STEM,BSCHE,BSChem,BSCE,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Strongly Agree,Agree,Teachers,Agree,Agree,Agree,Strongly Agree,Disagree,10-30,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSCHE,1.51-2.00,STEM,BSCHE,BSChem,BSCE,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Teachers,Agree,Agree,Agree,Strongly Agree,Agree,10-30,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Yes,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Strongly Agree,N/A,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Teachers,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,10-30,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Yes,No
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSCE,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Disagree,Disagree,Teachers,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,10-30,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,No
Female,Third Year,BSBA_OM,1.51-2.00,TVL,BSIT,BSBA_HRM,BSPsy,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Agree,Teachers,N/A,Disagree,Disagree,Disagree,Agree,10-30,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,No,No
Female,Third Year,BSBA_HRM,2.01-2.50,TVL,BSPsy,BSBA_HRM,BSEd_SS,Agree,Disagree,Agree,Agree,Myself,Agree,Disagree,Disagree,Teachers,Agree,Agree,Agree,Strongly Disagree,Disagree,10-30,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Disagree,Agree,Agree,Agree,Family,Disagree,Disagree,Disagree,Teachers,Disagree,Agree,Agree,Agree,Disagree,10-30,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSREM,1.00-1.50,BAM,BSA,BSBA_FM,BS_ENTRE,Strongly Agree,Agree,Strongly Agree,Agree,Family,Agree,Strongly Agree,Strongly Agree,Teachers,Agree,Strongly Agree,Strongly Agree,Agree,Agree,10-30,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Yes,No
Male,Third Year,BSCS,1.51-2.00,STEM,BSCS,BSIT,BSCpE,Strongly Agree,Agree,Agree,Disagree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Socioeconomic ,Agree,Agree,Disagree,Agree,Disagree,31-50,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Yes,No
Male,Second Year,BSIT,1.51-2.00,STEM,BSIT,BSCpE,BSCE,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Professionals,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,N/A,Agree,Agree,Agree,Agree,Agree,Yes,No
