sex,year,gwa,strand,current_course,first_choice,second_choice,third_choice,quality_instruction1,quality_instruction2,quality_instruction3,quality_instruction4,course_content1,academic_advising1,academic_advising2,college_experience1,college_experience2,interest_subject1,preparation_career1,preparation_career2,class_size1,class_size2,class_size3,failing_major1,academic_placement1,academic_placement2,personality_traits1,personality_traits2,personality_traits3,values1,values2,social_behavior1,social_behavior2,social_behavior3,social_behavior4,same_course,different_course
Female,Third Year,1.51-2.00,TVL,BSIT,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,30-Oct,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Family,Family,Agree,Agree,Yes,Yes
Male,First Year,N/A,STEM,BSMfgE,BSIT,BSN,BSPT,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,30-Oct,N/A,N/A,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Family,Family,Strongly Disagree,Agree,No,Yes
Female,Second Year,1.00-1.50,STEM,BSIT,BSIT,BSBA_MM,BSPsy,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,30-Oct,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Family,Family,Agree,Agree,Yes,No
Female,Third Year,1.51-2.00,TVL,BSIT,BSIT,BSCpE,BS_Arch,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,30-Oct,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Family,Family,Disagree,Agree,No,Yes
Male,Third Year,1.00-1.50,BAM,BSBA_HRM,BSA,BSBA_FM,BSBA_HRM,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,30-Oct,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Family,Family,Agree,Agree,Yes,No
Female,Second Year,1.51-2.00,STEM,BSCE,BSCE,BECEd,BAC,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Family,Family,Strongly Agree,Agree,No,Yes
Male,Third Year,1.00-1.50,TVL,BSIT,BSIT,BSCS,BAC,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,31-50,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Family,Family,Agree,Agree,No,Yes
Female,Third Year,1.00-1.50,TVL,BSIT,BSIT,BSCS,BAC,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,31-50,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Family,Family,Agree,Disagree,No,Yes
Female,Third Year,1.00-1.50,HESS,BSIT,BSTM,BSHM,BAC,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Family,Family,Strongly Agree,Agree,Yes,No
Male,Third Year,1.51-2.00,HESS,BSIT,BPA,BSIT,BMMP,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Family,Family,Agree,Agree,Yes,Yes
Female,Third Year,1.00-1.50,BAM,BSBA_FM,BSBA_FM,BSA,BSBA_MM,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Family,Family,Agree,Disagree,No,Yes
Female,Second Year,1.00-1.50,BAM,BSA,BSA,BSBA_FM,BSBA_MM,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,31-50,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Family,Family,Agree,Agree,No,Yes
Female,Second Year,1.00-1.50,BAM,BSA,BSA,BSBA_FM,BSBA_MM,Strongly Agree,Agree,Disagree,N/A,N/A,Agree,Agree,Agree,N/A,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,31-50,Strongly Disagree,Agree,Agree,Agree,Agree,N/A,Agree,Strongly Disagree,Family,Family,Strongly Agree,Agree,Yes,No
Female,Third Year,1.51-2.00,BAM,BSBA_MM,BSA,BSBA_MM,BSBA_MM,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,31-50,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Family,Family,Disagree,Disagree,No,Yes
Male,Second Year,2.51-3.00,STEM,BSCE,BSCE,BSIT,BSBA_MM,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Family,Family,Agree,Agree,No,Yes
Male,First Year,N/A,STEM,BSMfgE,BSCE,BS_Arch,BSCHE,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,N/A,N/A,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Family,Family,Strongly Agree,Disagree,No,No
Female,Third Year,1.51-2.00,STEM,BSCE,BSCE,BSBio,BSCHE,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,N/A,Strongly Agree,Strongly Agree,N/A,Agree,31-50,Agree,N/A,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Family,Family,Agree,Agree,No,Yes
Female,Second Year,1.00-1.50,STEM,BSCE,BSCE,BSECE,BS_Chem,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,31-50,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Family,Family,Agree,Agree,No,Yes
Female,Third Year,1.51-2.00,STEM,BSCE,BSCE,BSCE,BSCE,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Family,Family,Agree,Disagree,Yes,No
Female,Second Year,1.00-1.50,STEM,BSA,BSA,BSPsy,BSCE,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Family,Family,Disagree,Strongly Agree,No,Yes
Male,Second Year,1.00-1.50,TVL,BSIT,BSIT,BSPsy,BSCE,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,31-50,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Family,Family,Agree,Agree,No,Yes
Male,Second Year,1.51-2.00,STEM,BSIT,BSCE,BSCHE,BSCpE,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,31-50,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Family,Family,Strongly Disagree,Strongly Disagree,No,Yes
Male,Second Year,1.51-2.00,STEM,BSIT,BSIT,BSCS,BSCpE,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,N/A,Agree,Strongly Agree,Agree,Disagree,Agree,31-50,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Family,Family,Agree,Agree,Yes,No
Female,Third Year,1.00-1.50,TVL,BSIT,BSIT,BSCS,BSCpE,Agree,N/A,N/A,N/A,Agree,Agree,N/A,N/A,Agree,N/A,Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,N/A,N/A,Disagree,Agree,Strongly Agree,Family,Family,Strongly Agree,Strongly Agree,Yes,No
Male,First Year,N/A,STEM,BSEE,BSEE,BSECE,BSCpE,Agree,Agree,Disagree,Agree,Agree,N/A,Agree,Agree,N/A,Disagree,N/A,N/A,Agree,Agree,31-50,N/A,N/A,Agree,Agree,Agree,Agree,Agree,Agree,Family,Family,Agree,Agree,No,Yes
Male,Second Year,1.51-2.00,STEM,BSMfgE,BSME,BSEE,BSCpE,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,31-50,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Family,Family,Agree,Agree,No,Yes
Male,First Year,N/A,STEM,BSIT,BSIT,BSHM,BSCpE,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,N/A,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,31-50,N/A,N/A,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Family,Family,Strongly Agree,Disagree,Yes,Yes
Male,Second Year,1.00-1.50,STEM,BSMfgE,BSCE,BSME,BSCpE,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Family,Family,Strongly Agree,Strongly Disagree,No,Yes
Female,Third Year,1.51-2.00,STEM,BSCE,BSCE,BSN,BSCpE,Strongly Agree,N/A,N/A,Disagree,Agree,Strongly Agree,N/A,N/A,N/A,Agree,Strongly Agree,Agree,Agree,Agree,31-50,Strongly Disagree,Strongly Agree,N/A,Agree,Agree,Agree,Strongly Agree,Agree,Family,Family,Strongly Agree,Agree,No,Yes
Female,Third Year,1.00-1.50,STEM,BSCpE,BSN,BSPT,BSCpE,Strongly Agree,Disagree,Agree,N/A,Disagree,N/A,N/A,Agree,Strongly Disagree,N/A,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Family,Family,Disagree,Agree,No,Yes
Female,Third Year,1.51-2.00,TVL,BSIT,BSIT,BSTM,BSCpE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Family,Family,Agree,Agree,No,Yes
Female,Second Year,1.51-2.00,STEM,BSIT,BSIT,BS_Arch,BSCS,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Family,Family,Agree,Disagree,No,Yes
Female,Second Year,1.51-2.00,STEM,BSIT,BSIT,BSCpE,BSCS,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,31-50,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Family,Family,Disagree,Disagree,No,No
Female,Second Year,1.00-1.50,STEM,BSIT,BSIT,BSCpE,BSCS,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,N/A,Strongly Agree,Strongly Agree,Disagree,Agree,31-50,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Family,Family,Agree,Disagree,No,Yes
Female,First Year,N/A,TVL,BSIT,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Family,Family,Agree,Agree,Yes,Yes
Male,Second Year,2.01-2.50,TVL,BSCpE,BSCpE,BSIT,BSCS,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Family,Family,Agree,Disagree,Yes,Yes
Female,Second Year,1.00-1.50,STEM,BSIT,BSN,BSIT,BSCS,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,31-50,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Family,Family,Disagree,Disagree,Yes,Yes
Female,Second Year,1.51-2.00,STEM,BSCE,BSA,BSCE,BSEE,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,31-50,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Family,Family,Agree,Agree,No,No
Female,Second Year,1.00-1.50,STEM,BSMfgE,BSCE,BSME,BSEE,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Family,Family,Agree,Agree,Yes,Yes
Female,Second Year,1.51-2.00,STEM,BSCE,BSCE,BSChem,BS_ENTRE,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,N/A,N/A,N/A,Agree,Strongly Agree,Disagree,Agree,31-50,Disagree,Disagree,Strongly Agree,N/A,Agree,Disagree,Disagree,Agree,Family,Family,Strongly Agree,Disagree,No,Yes
Female,Third Year,1.00-1.50,TVL,BSIT,BSA,BSIT,BS_ENTRE,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,N/A,Agree,Strongly Agree,Agree,Agree,Strongly Agree,31-50,Strongly Disagree,Agree,Strongly Agree,Agree,N/A,Disagree,Agree,Agree,Family,Family,N/A,Strongly Disagree,No,Yes
Male,Third Year,1.51-2.00,BAM,BSIT,BSBA_MM,BS_ENTRE,BSIT,Strongly Agree,Disagree,Disagree,Agree,N/A,Strongly Disagree,Agree,N/A,N/A,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Family,Family,Agree,Disagree,Yes,No
Male,Third Year,2.01-2.50,STEM,BSCE,BSME,BSCE,BSIT,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,31-50,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Family,Family,Strongly Disagree,Agree,No,Yes
Male,Third Year,1.00-1.50,STEM,BSIT,BSBio,BSCpE,BSIT,N/A,N/A,N/A,N/A,N/A,N/A,Agree,N/A,Disagree,Disagree,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,N/A,Disagree,Strongly Agree,Family,Family,N/A,Agree,No,Yes
Female,Second Year,1.51-2.00,TVL,BSIT,BSPsy,BSCpE,BSIT,Strongly Disagree,Agree,Disagree,N/A,Disagree,Agree,N/A,N/A,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,N/A,Agree,Family,Family,Strongly Disagree,Agree,Yes,No
Female,Third Year,1.00-1.50,STEM,BSIT,BS_Arch,BSPsy,BSIT,Agree,N/A,Disagree,Disagree,N/A,Agree,N/A,N/A,Disagree,N/A,Agree,Agree,N/A,Agree,31-50,Disagree,Agree,Strongly Agree,N/A,Disagree,Disagree,Agree,Strongly Agree,Family,Family,Disagree,Agree,No,No
Female,Third Year,N/A,BAM,BSIT,BSHM,BSTM,BSIT,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Family,Family,Strongly Disagree,Agree,No,Yes
Female,Third Year,1.00-1.50,BAM,BSIT,BSPsy,BSTM,BSIT,Strongly Agree,N/A,N/A,Agree,Agree,Disagree,Agree,Agree,Disagree,N/A,Strongly Agree,Strongly Agree,N/A,Agree,31-50,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Family,Family,Agree,Disagree,No,Yes
Female,Third Year,1.51-2.00,STEM,BSCE,BSCE,BSCHE,BSME,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,N/A,Agree,Agree,Agree,Agree,31-50,N/A,Agree,Strongly Agree,N/A,N/A,N/A,Agree,Agree,Family,Family,Agree,Agree,No,Yes
Female,Third Year,1.00-1.50,TVL,BSIT,BSIT,BSCS,BSN,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,31-50,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Family,Family,Agree,Disagree,No,Yes
Female,Second Year,2.51-3.00,TVL,BSCpE,BSCpE,BSIT,BSN,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Family,Family,Disagree,Agree,No,Yes
Female,Third Year,1.51-2.00,STEM,BSCE,BSN,BSBio,BSPT,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,31-50,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Family,Family,Strongly Agree,Agree,No,No
Female,Third Year,1.00-1.50,BAM,BSIT,BSPsy,BSIT,BSPT,Disagree,Agree,Disagree,N/A,Agree,Agree,Agree,Agree,Agree,N/A,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Agree,N/A,N/A,N/A,Agree,Agree,Family,Family,Agree,Disagree,No,Yes
Male,Third Year,1.51-2.00,STEM,BSIT,BSIT,BSN,BSPT,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Family,Family,Strongly Disagree,Strongly Agree,No,Yes
Female,Second Year,1.51-2.00,STEM,BSECE,BSN,BSPsy,BSPT,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Family,Family,Agree,Strongly Disagree,No,Yes
Female,Second Year,2.01-2.50,TVL,BSIT,BSIT,BSBA_HRM,BSPsy,Agree,Agree,Disagree,Disagree,Disagree,Disagree,N/A,Disagree,N/A,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,31-50,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Family,Family,Strongly Disagree,Disagree,No,Yes
Female,Third Year,1.00-1.50,STEM,BSIT,BSIT,BSMath,BSPsy,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,31-50,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Family,Family,Disagree,Strongly Disagree,No,Yes
Female,Third Year,1.00-1.50,STEM,BSIT,BSIT,BSMath,BSPsy,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,31-50,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Family,Family,Strongly Disagree,Strongly Disagree,Yes,Yes
Female,Third Year,1.00-1.50,STEM,BSIT,BSIT,BSMath,BSPsy,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,31-50,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Family,Family,Disagree,Strongly Disagree,Yes,Yes
Male,Second Year,1.00-1.50,BAM,BSTM,BSA,BSTM,BSPsy,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Family,Family,Strongly Agree,Disagree,Yes,No
Female,Second Year,1.00-1.50,BAM,BSA,BSA,BSBA_MM,BSREM,Agree,N/A,Disagree,Agree,Agree,Strongly Agree,Agree,N/A,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Agree,Agree,N/A,Agree,Strongly Disagree,Family,Family,Agree,Agree,Yes,No
Female,Third Year,1.51-2.00,STEM,BSCE,BSCE,BS_Arch,BSTM,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Family,Family,Disagree,Disagree,Yes,Yes
Female,Third Year,1.00-1.50,BAM,BSBA_FM,BSBA_MM,BSBA_FM,BSTM,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Family,Family,Agree,Agree,No,Yes
