sex,year,current_course,gwa,strand,first_choice,second_choice,third_choice,decision_making1,decision_making2,decision_making3,decision_making4,decision_making5,decision_making6,decision_making7,decision_making8,personal_assessment1,personal_assessment2,personal_assessment3,course_environment1,course_environment2,course_environment3,course_environment4,course_environment5,course_satisfaction1,course_satisfaction2,course_satisfaction3,course_satisfaction4,academic_experience1,academic_experience2,academic_experience3,academic_experience4,academic_experience5,academic_experience6,academic_experience7,same_course,different_course
Male,Third Year,BSIT,1.00-1.50,STEM,BSBio,BSCpE,BSIT,Disagree,Strongly Agree,N/A,Agree,Agree,N/A,Parents,Parents,Strongly Disagree,Disagree,N/A,Disagree,Agree,N/A,Agree,31-50,N/A,Disagree,N/A,N/A,Agree,Disagree,N/A,N/A,Agree,Strongly Agree,Disagree,No,Yes
Male,Second Year,BSIT,1.51-2.00,STEM,BSIT,BSCpE,BSCS,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSArch,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Parents,Relatives,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,N/A,Yes,No
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BAC,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Parents,Parents,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSPsy,BSCS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Relatives,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,51-70,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSBAMM,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Teachers,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,31-50,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSMath,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,N/A,N/A,Agree,N/A,31-50,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSArch,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Relatives,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSN,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Other,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10-30,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.51-2.00,STEM,BSCpE,BSIT,BSCS,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Yes,No
Male,Third Year,BSIT,2.51-3.00,STEM,BSME,BSEE,BSIT,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Relatives,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,10-30,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,N/A,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCpE,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Parents,Parents,N/A,N/A,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,N/A,N/A,N/A,Agree,Disagree,N/A,N/A,N/A,Agree,Agree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSN,BSArch,BSCpE,Disagree,Agree,Agree,Agree,Agree,Agree,Myself,Parents,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,31-50,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,No
Female,First Year,BSIT,N/A,STEM,BSPsy,BSIT,BSN,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Relatives,Relatives,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,51-70,Disagree,Strongly Disagree,Strongly Disagree,Agree,N/A,N/A,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCpE,BSArch,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,10-30,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,N/A,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,TVL,BSCE,BSCS,BSCpE,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Myself,Other,Agree,Strongly Agree,Agree,Disagree,Disagree,N/A,Strongly Disagree,31-50,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Yes,No
Male,Second Year,BSIT,1.51-2.00,STEM,BSArch,BSPsy,BSIT,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Myself,Other,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,N/A,Strongly Disagree,Agree,31-50,N/A,Disagree,N/A,N/A,Disagree,N/A,Agree,N/A,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSIT,1.00-1.50,STEM,BSArch,BSME,BSIT,Agree,Agree,Agree,Agree,Agree,Disagree,Myself,Parents,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSBAHRM,BSHM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSPsy,BSArch,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Myself,Parents,Disagree,N/A,N/A,Disagree,Disagree,Agree,Disagree,31-50,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,N/A,Disagree,Disagree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSA,BSSW,BSCpE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Parents,Siblings,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,Second Year,BSIT,1.51-2.00,HESS,BSIT,BSCS,BSCpE,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Myself,Other,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,N/A,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,N/A,N/A,Disagree,Agree,Agree,Agree,N/A,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,BAM,BSBAFM,BSIT,BSA,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Myself,Siblings,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,N/A,Agree,N/A,Yes,No
Female,Third Year,BSIT,2.51-3.00,STEM,BSEE,BSIT,BSME,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Myself,Relatives,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,10-30,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.51-2.00,STEM,BSIT,BSCpE,BSCS,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Parents,Parents,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,No,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Myself,Parents,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Yes,No
Male,First Year,BSIT,N/A,STEM,BSIT,BSCS,BSN,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Other,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,51-70,Agree,Strongly Agree,Agree,Strongly Agree,N/A,N/A,N/A,Strongly Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSIT,1.51-2.00,BAM,BSBAFM,BSBAMM,BSCE,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Relatives,Parents,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,31-50,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Male,Second Year,BSIT,1.51-2.00,TVL,BSCS,BSIT,BSCpE,Strongly Agree,Agree,N/A,Strongly Agree,Strongly Agree,N/A,Myself,Parents,Agree,Agree,Strongly Disagree,Disagree,N/A,Agree,Strongly Disagree,31-50,Disagree,Agree,Strongly Disagree,Agree,N/A,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Female,Second Year,BSIT,1.51-2.00,HESS,BSN,BSPT,BSPsy,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Siblings,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSBio,BSPsy,BSIT,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Siblings,Parents,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,31-50,Disagree,Strongly Disagree,N/A,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,N/A,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Myself,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,No
Female,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSCS,BSA,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Parents,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.51-2.00,BAM,BSTM,BSIT,BSCpE,Disagree,Agree,Agree,Agree,Agree,Agree,Myself,Relatives,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Second Year,BSIT,1.00-1.50,STEM,BSArch,BSIT,BSIT,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSN,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,N/A,N/A,Agree,Agree,Agree,N/A,51-70,Disagree,N/A,Strongly Disagree,N/A,Agree,Strongly Disagree,Disagree,N/A,N/A,Strongly Agree,N/A,No,Yes
Female,Third Year,BSIT,1.51-2.00,HESS,BSPsy,BSIT,BSSW,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,Agree,N/A,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,N/A,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,BAM,BSA,BSIT,BSBAFM,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCpE,BMMP,Agree,Agree,Agree,Agree,Agree,Agree,Myself,Myself,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,No,No
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCpE,Agree,N/A,Agree,Strongly Agree,Agree,Agree,Myself,Parents,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,N/A,N/A,31-50,Agree,Strongly Agree,N/A,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Teachers,Other,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,No
Male,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSCpE,BPA,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Teachers,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,10-30,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Yes,No
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSEdSS,BSBAHRM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Parents,Relatives,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSBio,BSCS,Disagree,Disagree,Agree,Agree,Agree,Disagree,Myself,Other,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSIT,Agree,Disagree,Agree,Agree,Agree,Agree,Myself,Parents,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,N/A,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,HESS,BSPsy,BSIT,BPEd,Agree,Agree,Agree,Agree,Agree,Agree,Myself,Parents,N/A,Agree,Disagree,Disagree,Disagree,Disagree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSCpE,BSCS,BSIT,Disagree,Disagree,Disagree,Agree,Agree,Agree,Parents,Parents,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,N/A,Agree,Disagree,Agree,Disagree,N/A,Agree,N/A,Yes,No
Male,First Year,BSIT,N/A,STEM,BSIT,BSCpE,BSCS,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Myself,Siblings,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,51-70,Agree,Strongly Agree,Agree,Strongly Disagree,N/A,N/A,N/A,Disagree,Agree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSBAHRM,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCpE,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,No
Male,Third Year,BSIT,2.51-3.00,STEM,BSBio,BSEE,BSECE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Myself,Parents,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,N/A,Agree,N/A,Disagree,Disagree,Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.51-2.00,STEM,BSBio,BSPsy,BSPT,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Myself,Friends and/or boyfriend/girlfriend,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSPsy,BSCE,BSArch,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Myself,Siblings,Agree,Agree,Agree,Disagree,Agree,N/A,Strongly Disagree,31-50,Disagree,N/A,Disagree,N/A,Agree,Disagree,Agree,Disagree,N/A,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSHM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,31-50,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSA,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Myself,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Agree,N/A,Agree,Disagree,Agree,Agree,Disagree,No,No
Male,Second Year,BSIT,1.00-1.50,BAM,BSA,BSBAFM,BSIT,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,No,Yes
Female,Third Year,BSIT,1.51-2.00,TVL,BSN,BSIT,BSPsy,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Parents,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSPsy,BSEdEng,Agree,Disagree,Disagree,Agree,Agree,Disagree,Myself,Myself,N/A,Agree,Agree,Disagree,Disagree,Disagree,Agree,31-50,N/A,Agree,Agree,Disagree,Strongly Disagree,Agree,N/A,Disagree,N/A,Strongly Agree,N/A,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Strongly Agree,Agree,Agree,N/A,Disagree,Agree,Disagree,Agree,Agree,N/A,Yes,No
Female,Third Year,BSIT,2.01-2.50,TVL,BSN,BSCpE,BSBAHRM,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Parents,Parents,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,Yes
