Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
Female,Third Year,BSA,BAM,BSA,BSBA_FM,BECEd,Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,10-30,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSIT,STEM,BSIT,BS_Arch,BSCE,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Disagree,Agree,10-30,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BS_ENTRE,BAM,BSHM,BSBA_HRM,BS_ENTRE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Agree,Strongly Disagree,Professionals,Agree,Strongly Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_HRM,TVL,BSPsy,BSBA_HRM,BSEd_SS,Agree,Disagree,Agree,Agree,Myself,Agree,Disagree,Disagree,Teachers,Agree,Agree,Agree,Strongly Disagree,Disagree,10-30,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSA,BAM,BSA,BSBA_FM,BSBA_MM,Disagree,Agree,Agree,Agree,Family,Disagree,Disagree,Disagree,Teachers,Disagree,Agree,Agree,Agree,Disagree,10-30,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCE,STEM,BSCE,BSCHE,BSBio,Agree,Strongly Disagree,Agree,Disagree,Myself,Agree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSCHE,STEM,BSCHE,BSPT,BSIT,Disagree,Disagree,Disagree,Agree,Myself,Strongly Disagree,Agree,Disagree,Professionals,Disagree,Agree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,STEM,BSPsy,BSIT,BSBio,Agree,Strongly Agree,Disagree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Female,Third Year,BSIT,STEM,BSPsy,BSIT,BSCS,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Socioeconomic ,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,Second Year,BSIT,STEM,BSN,BSPsy,BSBio,Disagree,Strongly Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Male,Second Year,BSCE,SA,BSME,BSCpE,BSIT,Agree,Disagree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSA,BAM,BSA,BSPsy,BAC,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_HRM,HESS,BSPsy,BSBA_HRM,BAC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BAC,BPA,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSBA_FM,BAM,BSBA_FM,BSHM,BSA,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Female,Third Year,BSHM,BAM,BSHM,BSBA_MM,BSA,Strongly Agree,Strongly Disagree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Yes,Yes
Female,Third Year,BSCE,STEM,BSCE,BSBA_FM,BSA,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,No,Yes
Female,Second Year,BSCHE,BAM,BSN,BSPsy,BSBio,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,31-50,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSCS,STEM,BSCS,BSCpE,BSBio,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Yes,Yes
Female,Third Year,BSBA_BE,BAM,BSA,BSBA_BE,BSBA_FM,Agree,Disagree,Agree,Disagree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_FM,BAM,BSA,BSTM,BSBA_FM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,Second Year,BSIT,BAM,BSA,BSIT,BSBA_FM,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Third Year,BSIT,TVL,BSA,BSIT,BSBA_FM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSCE,STEM,BSCE,BS_Arch,BSCHE,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Disagree,Strongly Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSBA_HRM,TVL,BSTM,BSHM,BSBA_HRM,Strongly Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSBA_HRM,TVL,BSPsy,BSSW,BSBA_HRM,Agree,Disagree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,No,Yes
Female,Second Year,BSIT,TVL,BSIT,BSCS,BSBA_HRM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Yes
Male,Third Year,BSBA_FM,BAM,BS_Arch,BSBA_FM,BSBA_MM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Second Year,BSCE,STEM,BSCE,BSME,BSChem,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Male,Second Year,BSCE,STEM,BSA,BS_Arch,BSCE,Agree,Agree,Agree,Strongly Agree,Myself,Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSCpE,STEM,BSCE,BSIT,BSCpE,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Male,Second Year,BSIT,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BSCS,BSCpE,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Male,First Year,BSMfgE,STEM,BSN,BSCE,BSCpE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,No,Yes
Male,Third Year,BSCE,STEM,BSCE,BSME,BSCS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,31-50,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Yes,Yes
Male,Third Year,BSCpE,BAM,BSA,BSCpE,BSCS,Strongly Agree,Disagree,Disagree,Disagree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Disagree,Agree,31-50,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Second Year,BSCS,STEM,BSIT,BSPsy,BSCS,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,31-50,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSIT,STEM,BSIT,BSCpE,BSCS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSIT,STEM,BSIT,BSCpE,BSCS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Agree,Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,Yes
Male,Second Year,BSCE,STEM,BS_Arch,BSCE,BSEE,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,First Year,BSECE,STEM,BSECE,BSCpE,BSEE,Agree,Agree,Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Yes,Yes
Male,Second Year,BSIT,STEM,BS_Arch,BSIT,BS_ENTRE,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Disagree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,No,Yes
Female,Third Year,BSBA_OM,BAM,BSBA_HRM,BSBA_MM,BSHM,Agree,Disagree,Agree,Disagree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Disagree,Agree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSCpE,STEM,BSCpE,BSBio,BSIT,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,No,Yes
Male,Third Year,BSCpE,STEM,BSCpE,BSCS,BSIT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,Yes
Male,Third Year,BSCS,STEM,BSCpE,BSCS,BSIT,Agree,Strongly Disagree,Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,No,Yes
Male,Second Year,BSIT,BAM,BSA,BSBA_FM,BSIT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,No,Yes
Male,Second Year,BSIT,STEM,BS_Arch,BSCS,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Female,Second Year,BSIT,STEM,BS_Arch,BSIT,BSIT,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,No,Yes
Female,Second Year,BSIT,STEM,BS_Arch,BSIT,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Agree,Disagree,31-50,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,No,Yes
Male,Second Year,BSIT,STEM,BSCE,BSME,BSIT,Agree,Agree,Agree,Agree,Myself,Strongly Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Disagree,Disagree,Strongly Agree,31-50,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Male,Third Year,BSIT,STEM,BSHM,BSME,BSIT,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Second Year,BSIT,TVL,BSPsy,BSSW,BSIT,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSREM,BAM,BSA,BSBA_FM,BSME,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,No,Yes
Male,First Year,BSMfgE,STEM,BSCE,BSME,BSCpE,Agree,Agree,Agree,Agree,Myself,Agree,Disagree,Disagree,Family,Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,No,Yes
Male,Second Year,BSTM,HESS,BSTM,BAC,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCE,STEM,BSCE,BSPsy,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,No,Yes
Male,Second Year,BSCpE,TVL,BSCpE,BSPsy,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Yes,Yes
Male,Second Year,BSCpE,TVL,BSCpE,BSPsy,BSN,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Yes,Yes
