Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment5,Course_Environment2,Course_Environment3,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Same_Course,Different_Course
Female,Second Year,BSIT,STEM,BSECE,BSEE,BSPsy,Strongly Agree,Institution,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,Third Year,BSCpE,TVL,BSA,BSBA_MM,BSIT,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,No,Yes
Male,Second Year,BSIT,TVL,BS_Arch,BSIT,BAC,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Yes,Yes
Male,Third Year,BSBA_HRM,HESS,BSPsy,BSBA_HRM,BPA,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,No,No
Male,Third Year,BSIT,STEM,BSBio,BSEE,BSECE,Agree,Myself,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,No,Yes
Male,Second Year,BSIT,TVL,BSIT,BSCpE,BS_Arch,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Yes,No
Male,Third Year,BSIT,TVL,BSCE,BSIT,BSBA_HRM,Strongly Agree,Myself,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,No,Yes
Male,Third Year,BSBA_HRM,BAM,BSBA_HRM,BSBA_FM,BSBA_MM,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Yes,No
Female,Second Year,BSREM,BAM,BSBA_OM,BSREM,BSBA_MM,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Yes,No
Male,Third Year,BSBA_OM,BAM,BSA,BSBA_FM,BSBA_OM,Agree,Myself,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Yes,No
Male,Second Year,BSCHE,STEM,BSCHE,BSCE,BSChem,Agree,Myself,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Yes,No
Male,Second Year,BSIT,TVL,BSIT,BSCE,BSCS,Disagree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSCE,STEM,BSCE,BSME,BSECE,Agree,Myself,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Yes,No
Female,First Year,BSIT,TVL,BSIT,BSCS,BSBA_MM,Agree,Myself,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSIT,BAM,BSA,BSBA_FM,BSIT,Strongly Agree,Myself,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Yes,No
Male,Third Year,BSIT,STEM,BSME,BSEE,BSIT,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Yes,No
Female,Third Year,BSBA_HRM,BAM,BSA,BSCS,BSPsy,Strongly Agree,Myself,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,No,No
Female,Second Year,BSREM,STEM,BSCE,BSN,BSTM,Strongly Agree,Myself,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BSCpE,BS_Arch,Agree,Family,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,No,Yes
Male,Third Year,BSBA_HRM,BAM,BSA,BSBA_FM,BSBA_HRM,Strongly Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Yes,No
Male,First Year,BSCpE,STEM,BSN,BSPT,BSCE,Agree,Family,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,No,No
Male,Third Year,BSIT,TVL,BSIT,BSCS,BSCpE,Agree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,No
Female,Third Year,BSIT,TVL,BSIT,BSCpE,BSCS,Agree,Family,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,First Year,BSMfgE,STEM,BSIT,BSN,BSPT,Agree,Family,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,No,Yes
Female,Second Year,BSIT,STEM,BSIT,BSBA_MM,BSPsy,Agree,Family,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSBA_HRM,STEM,BSPsy,BSN,BSBA_HRM,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,No,No
Female,Second Year,BSIT,HESS,BSPsy,BSIT,BSChem,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,No
Female,Third Year,BSECE,STEM,BSECE,BSCE,BSCpE,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Yes,No
Male,Third Year,BSIT,STEM,BSME,BSEE,BSIT,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,No,Yes
Female,Third Year,BSIT,STEM,BSEE,BSIT,BSME,Agree,Myself,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Yes,No
Female,Third Year,BSIT,STEM,BSCpE,BSCS,BSIT,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Yes,No
Female,Third Year,BSBA_OM,BAM,BSA,BSME,BSEd_Math,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Female,Third Year,BSA,BAM,BSA,BSBA_FM,BECEd,Agree,Family,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,No,Yes
Female,Third Year,BSCHE,STEM,BSCHE,BSME,BSBio,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Yes,No
Female,Third Year,BSIT,STEM,BSIT,BS_Arch,BSCE,Strongly Agree,Myself,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSCS,TVL,BSCS,BSIT,BSCpE,Strongly Agree,Myself,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Yes,No
Male,Second Year,BSIT,STEM,BSIT,BSCpE,BPA,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Yes,No
Female,Third Year,BSBA_HRM,BAM,BSBA_HRM,BSBA_MM,BSBA_FM,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Yes,No
Female,Third Year,BS_ENTRE,BAM,BSHM,BSBA_HRM,BS_ENTRE,Strongly Agree,Myself,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,No,Yes
Male,Third Year,BSCHE,STEM,BSCHE,BSChem,BSCE,Agree,Myself,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Yes,No
Female,Third Year,BSCHE,STEM,BSCHE,BSChem,BSCE,Agree,Myself,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Yes,No
Female,Second Year,BSA,BAM,BSA,BSCE,BSPsy,Strongly Agree,Myself,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,No,No
Female,Third Year,BSBA_HRM,TVL,BSPsy,BSBA_HRM,BSEd_SS,Agree,Myself,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,No,Yes
Female,Third Year,BSA,BAM,BSA,BSBA_FM,BSBA_MM,Disagree,Family,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,No,Yes
Female,Second Year,BSREM,BAM,BSA,BSBA_FM,BS_ENTRE,Strongly Agree,Family,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Yes,No
Male,Third Year,BSCS,STEM,BSCS,BSIT,BSCpE,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Yes,No
Male,Second Year,BSCS,TVL,BSCS,BSIT,BSPsy,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Yes,No
Female,Second Year,BS_ENTRE,BAM,BSBA_MM,BS_ENTRE,BSA,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSCpE,STEM,BSCE,BSCpE,BSECE,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Yes,No
Female,Third Year,BSCE,STEM,BSCE,BSCHE,BSBio,Agree,Myself,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,No,Yes
Male,Third Year,BSA,BAM,BSA,BSBA_FM,BSBA_MM,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Yes,No
Female,Second Year,BSCHE,STEM,BSCHE,BSPT,BSIT,Disagree,Myself,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,No,Yes
Male,Third Year,BSIT,STEM,BSIT,BSCS,BSCpE,Agree,Teachers,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Yes,No
Male,Third Year,BSIT,STEM,BSIT,BSCpE,BSCS,Agree,Myself,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSCE,STEM,BSCE,BSCpE,BSECE,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Yes,No
Male,Second Year,BSEE,STEM,BSEE,BSME,BSCpE,Strongly Agree,Myself,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Yes,No
Male,Second Year,BSEE,STEM,BSEE,BSME,BSCpE,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Yes,No
Male,Third Year,BSIT,STEM,BSPsy,BSIT,BSBio,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,No,Yes
Female,Second Year,BSA,STEM,BSA,BSBA_FM,BSBA_OM,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Yes,No
Female,Second Year,BSCE,STEM,BSCE,BSPsy,BSN,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Yes,No
Female,Third Year,BSIT,STEM,BSPsy,BSIT,BSCS,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,No,Yes
Male,Third Year,BSCE,TVL,BS_Arch,BSME,BSA,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Yes,No
Female,Second Year,BSIT,STEM,BSN,BSPsy,BSBio,Disagree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,No,Yes
Male,Third Year,BSCE,STEM,BSCE,BSME,BSCpE,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSCE,STEM,BSCE,BSME,BSEE,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSCE,SA,BSME,BSCpE,BSIT,Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,No,Yes
Female,Third Year,BSCE,STEM,BSCE,BSEE,BSME,Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Yes,No
Female,Third Year,BSA,BAM,BSA,BSPsy,BAC,Agree,Myself,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSBA_HRM,HESS,BSPsy,BSBA_HRM,BAC,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BAC,BPA,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSCHE,STEM,BSCHE,BSChem,BS_Arch,Agree,Myself,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,No,No
Male,Second Year,BSCE,STEM,BSCE,BSCS,BS_Arch,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Yes,No
Female,Second Year,BSCE,STEM,BSCE,BSME,BS_Arch,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSCS,TVL,BSIT,BSCS,BS_Arch,Agree,Myself,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,No,No
Female,Second Year,BSCS,STEM,BSCS,BSIT,BSBio,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Yes,No
Female,Third Year,BSBA_FM,BAM,BSBA_FM,BSHM,BSA,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Yes,Yes
Male,Third Year,BSBA_HRM,BAM,BSPT,BSBA_HRM,BSA,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSHM,BAM,BSHM,BSBA_MM,BSA,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Yes,Yes
Male,Third Year,BSTM,BAM,BSTM,BSHM,BSA,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Yes,No
Female,Third Year,BSCE,STEM,BSCE,BSBA_FM,BSA,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,No,Yes
Male,Second Year,BSCE,STEM,BSCE,BSME,BSA,Strongly Agree,Myself,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,No,No
Male,Second Year,BSCpE,STEM,BSCE,BSCpE,BSA,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Yes,No
Male,Second Year,BSCS,STEM,BSPsy,BSCS,BSA,Agree,Myself,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,No,No
Male,Third Year,BSIT,BAM,BSIT,BSBA_FM,BSA,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,No,No
Female,Second Year,BSCHE,BAM,BSN,BSPsy,BSBio,Agree,Myself,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSCE,STEM,BSCE,BS_Arch,BSBio,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,No,No
Male,Third Year,BSCE,STEM,BSCE,BSECE,BSBio,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,No,No
Male,Third Year,BSCS,STEM,BSCS,BSCpE,BSBio,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Yes,Yes
Male,Second Year,BSIT,STEM,BSN,BSCHE,BSBio,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,No,No
Male,Second Year,BSBA_BE,BAM,BSA,BSBA_FM,BSBA_BE,Strongly Agree,Myself,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,No,No
Female,Third Year,BSTM,BAM,BSTM,BSA,BSBA_BE,Strongly Agree,Myself,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Yes,No
Female,Second Year,BSA,BAM,BSA,BSBA_MM,BSBA_FM,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Yes,No
Female,Third Year,BSBA_BE,BAM,BSA,BSBA_BE,BSBA_FM,Agree,Myself,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,No,Yes
